veracity,content,sentiment,retweet numbers,likes numbers,compound
0,Gargling with salt water or Vinegar eliminate the COVID-19 coronavirus from the throat of an infected persons system,0,39,73,-0.4939
0,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections,0,0,0,-0.4588
0,Chinese officials are seeking approval to start the mass killing of people in order to stop the spread of new coronavirus,0,0,0,-0.5423
0,U.S. President Donald Trump cut funding for the Centers for Disease Control and Prevention (CDC),0,45,82,-0.2732
0,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so u Democrats could run negative ads about Republicans u made the latter look bad,0,218,375,-0.802
0,U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu the H1N1 virus,0,60,126,-0.9136
0,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus,0,45,97,-0.4767
0,The fictional Umbrella Corporation from the game Resident Evil shares a logo with a biotech lab in Wuhan Hubei Province in China where a new coronavirus is believed to have originated,0,1,0,-0.4939
0,An MSNBC reporter said on air: I hope enough people die from coronavirus u it harms Trumps reelection.,0,32,77,-0.6369
0,Warm weather will kill coronavirus,0,4,0,-0.5859
0,Only Those Over Years Of Age And Those With Existing Health Problems Are At Risk From The Coronavirus,0,1,1,-0.5859
0,Nancy Pelosi wouldnt release billion for Coronavirus without abortion funding so Trump went around her to declare a National Emergency and got billion,0,0,0,-0.3818
0,If you have a runny nose and sputum you have a common cold. Coronavirus pneumonia is a dry cough with no runny nose,0,1,0,-0.296
0,This new virus is not heat-resistant and will be killed by a temperature of just /27 degrees. It hates the Sun,0,2,3,-0.8126
0,The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital the lung is usually % Fibrosis and its too late (Fibrosis is not reversible). Taiwan experts provide a simple self-check u we can do every morning. Take a deep breath and hold your breath for more than seconds. If you complete it successfully without coughing without discomfort stiffness or tightness etc. it proves there is no Fibrosis in the lungs basically indicates no infection. In critical times please self-check every morning in an environment with clean air,0,0,0,-0.3991
0,The Trump administration cut the Centers for Disease Control and Preventions anti-pandemic work in over countries to just,0,54,244,-0.2732
0,The Government have announced measures u all workplaces with employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March . All schools are to close for weeks also from March th. Offices will resume after weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,0,54,244,-0.2023
0,The Government has announced measures u all workplaces with employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March . Offices will resume after weeks of the mandatory closure. Check the article for your place of work,0,54,244,-0.2023
0,Federal agents arrested Harvard professor Charles Lieber for creating the coronavirus,0,0,0,-0.2263
0,In case you missed it yesterday Federal Agents arrested Dr. Charles Lieber chair of Harvard Universitys Department of Chemistry and Chemical Biology with lying to the Department of Defense about secret monthly payments of $50000.00 paid by China and receipt of millions more to help set up a chemical/biological esearch ?laboratory in China. Also arrested were two Chinese tudents ?working as research assistants one of whom was actually a lieutenant in the Chinese Army the other captured at Logan Airport as he tried to catch a flight to China ?smuggling vials of ensitive Biological Samples ?according to the FBI. Oh almost forgot. The research lab the good professor had helped set up? Its located at the Wuhan University of Technology. Wuhan China is ground zero to the potentially global pandemic known as the oronavirus hich is both spreading rapidly and killing people,0,5,3,-0.931
0,Authorities have identified u the international chemical-warfare terrorist Samuel Whitcomb Hyde is behind the deadly China coronavirus,0,8,23,-0.6908
0,Not only is chlorine dioxide (aka MMS) an effective cancer cell killer it can wipe out coronavirus too,0,167,197,-0.765
0,Its dangerous to take ibuprofen if you have coronavirus,0,8,11,-0.4767
0,Medical professionals said u ibuprofen is not recommended for managing coronavirus symptoms,0,0,0,-0.1511
0,I have a doctor in the family who has been given information from Viennas laboratory studying COVID-19 and vast majority of people who died of it had ibuprofen in their system so do not take it! Those who recovered did not take ibuprofen so if you have symptoms take Paracetamol only! Looks like this virus thrives on ibuprofen so dont do it and tell everyone you can,0,0,0,-0.3987
0,The coronavirus is an example of biological warfare,0,974,941,-0.296
0,Italian Prime Minister Giuseppe Conte said in Twitter we have lost control. We have killed the epidemic physically and mentally. Cant understand what more we can do all solutions are exhausted on ground. Our only hope remains up in the sky God rescue your people.,0,842,1479,-0.0772
0,Coronavirus pneumonia is a dry cough with no runny nose,0,9,26,-0.296
0,Gargle with warm and salt water kills the tonsils germs and prevents them from leaking into the lungs,0,61,9,-0.3182
