veracity,content,sentiment,retweet numbers,likes numbers,compound
0,If you can hold your breath without coughing discomfort stiffness or tightness your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection,1,61,95,0.4556
0,A homemade hand sanitizer made with Titos Vodka can be used to fight the new coronavirus,1,41,67,0.1531
0,Gargling with salt water or Vinegar eliminate the COVID-19 coronavirus from the throat of an infected persons system,0,39,73,-0.4939
0,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections,0,0,0,-0.4588
0,Chinese officials are seeking approval to start the mass killing of people in order to stop the spread of new coronavirus,0,0,0,-0.5423
0,U.S. President Donald Trump cut funding for the Centers for Disease Control and Prevention (CDC),0,45,82,-0.2732
0,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so u Democrats could run negative ads about Republicans u made the latter look bad,0,218,375,-0.802
0,U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu the H1N1 virus,0,60,126,-0.9136
0,The White House sent out text messages in mid-March informing people u a mandatory quarantine in U.S. would start within hours,1,30,51,0.0772
0,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus,0,45,97,-0.4767
0,A major disease outbreak occurred in every election year since,1,61,95,0
0,The fictional Umbrella Corporation from the game Resident Evil shares a logo with a biotech lab in Wuhan Hubei Province in China where a new coronavirus is believed to have originated,0,1,0,-0.4939
0,A photograph shows a railroad tank car identified as carrying COVID-19.,1,21,54,0
0,Self-described psychic Sylvia Browne predicted a outbreak of the new coronavirus,1,41,67,0
0,Author Dean Koontz predicted the new coronavirus outbreak in his novel The Eyes of Darkness.,1,146,187,0.0772
0,You can get the coronavirus by drinking Corona beer,1,16,617,0
0,The Vatican has confirmed in a statement u Pope Francis and two of his aides have tested positive for the novel Coronavirus,1,41,71,0.7096
0,An MSNBC reporter said on air: I hope enough people die from coronavirus u it harms Trumps reelection.,0,32,77,-0.6369
0,Donating blood requires u you be administered a free test for the COVID-19 a disease caused by the coronavirus,1,30,51,0.5106
0,Warm weather will kill coronavirus,0,4,0,-0.5859
0,There Is A National Lockdown And The Entire Country Will Be Quarantined For Two Weeks,1,2,11,0
0,FEMA Has Deployed Military Assets,1,405,541,0.1779
0,I Need To Stockpile As Many Groceries And Supplies As I Can,1,1,4,0
0,Only Those Over Years Of Age And Those With Existing Health Problems Are At Risk From The Coronavirus,0,1,1,-0.5859
0,The government ?or specific states such as Michigan or Florida ?has mandated u employers and schools close for two weeks in response to the coronavirus,1,22,16,0
0,All schools are to close for weeks also from March th ?Offices will resume after weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,1,0,0,0.0772
0,Chloroquine can cure coronavirus,1,102,85,0
0,Nancy Pelosi wouldnt release billion for Coronavirus without abortion funding so Trump went around her to declare a National Emergency and got billion,0,0,0,-0.3818
0,People are dying who have never died before.Donald J. Trump March,1,5821,23907,0.4449
0,Every election year has a disease: SARS-2004 Avian-2008 Swine-2010 MERS-2012 Ebola-2014 Zika-2016 Ebola-2018 Corona-2020,1,906,1481,0
0,Google is helping to develop a website. Its going to be very quickly done unlike websites of the past to determine whether a test is warranted and to facilitate testing at a nearby convenient location. We have many many locations behind us by the way. We cover the ?this country in large part. So the world by the way ?we not going to be talking about the world right now. But we cover very very strongly our country. Stores in virtually every location. Google has engineers working on this right now. They made tremendous progress. Our overriding goal is to stop the spread of the virus and to help all Americans who have been impacted by this,1,21,38,0.8725
0,Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist never dry. Take a few sips of water every minutes at least. Why? Even if the virus gets into your mouth drinking water or other liquids will wash them down through your throat and into the stomach. Once there your stomach acid will kill all the virus. If you dont drink enough water more regularly the virus can enter your windpipe and into the lungs. us very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon. Please forward to your kids and friends,1,1,6,0.9129
0,If you have a runny nose and sputum you have a common cold. Coronavirus pneumonia is a dry cough with no runny nose,0,1,0,-0.296
0,This new virus is not heat-resistant and will be killed by a temperature of just /27 degrees. It hates the Sun,0,2,3,-0.8126
0,Drinking warm water is effective for all viruses. Try not to drink liquids with ice,1,0,2,0.6124
0,Wash your hands frequently as the virus can only live on your hands for minutes but - a lot can happen during u time - you can rub your eyes pick your nose unwittingly and so on,1,2,3,0
0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice,1,1,0,0.4939
0,The nasal congestion is not like the normal kind. You feel like youre drowning. Its imperative you then seek immediate attention,1,2,3,0.0464
0,Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist never dry. Take a few sips of water every minutes at least. Why? Even if the virus gets into your mouth drinking water or other liquids will wash them down through your throat and into the stomach. Once there your stomach acid will kill all the virus. If you dont drink enough water more regularly the virus can enter your windpipe and into the lungs. us very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon,1,1,6,0.7897
0,The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital the lung is usually % Fibrosis and its too late (Fibrosis is not reversible). Taiwan experts provide a simple self-check u we can do every morning. Take a deep breath and hold your breath for more than seconds. If you complete it successfully without coughing without discomfort stiffness or tightness etc. it proves there is no Fibrosis in the lungs basically indicates no infection. In critical times please self-check every morning in an environment with clean air,0,0,0,-0.3991
0,The Trump administration cut the Centers for Disease Control and Preventions anti-pandemic work in over countries to just,0,54,244,-0.2732
0,The Government have announced measures u all workplaces with employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March . All schools are to close for weeks also from March th. Offices will resume after weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,0,54,244,-0.2023
0,The Government has announced measures u all workplaces with employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March . Offices will resume after weeks of the mandatory closure. Check the article for your place of work,0,54,244,-0.2023
0,Federal agents arrested Harvard professor Charles Lieber for creating the coronavirus,0,0,0,-0.2263
0,In case you missed it yesterday Federal Agents arrested Dr. Charles Lieber chair of Harvard Universitys Department of Chemistry and Chemical Biology with lying to the Department of Defense about secret monthly payments of $50000.00 paid by China and receipt of millions more to help set up a chemical/biological esearch ?laboratory in China. Also arrested were two Chinese tudents ?working as research assistants one of whom was actually a lieutenant in the Chinese Army the other captured at Logan Airport as he tried to catch a flight to China ?smuggling vials of ensitive Biological Samples ?according to the FBI. Oh almost forgot. The research lab the good professor had helped set up? Its located at the Wuhan University of Technology. Wuhan China is ground zero to the potentially global pandemic known as the oronavirus hich is both spreading rapidly and killing people,0,5,3,-0.931
0,Good news Wuhans corona virus can be cured by one bowl of freshly boiled garlic water. Old Chinese doctor has proven its efficacy. Many patients has also proven this to be effective. Eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil. Eat and drink the boiled garlic water overnight improvement and healing. Glad to share this,1,6,25,0.9217
0,The virus has been patented and a vaccine is already available,1,40,44,0
0,Authorities have identified u the international chemical-warfare terrorist Samuel Whitcomb Hyde is behind the deadly China coronavirus,0,8,23,-0.6908
0,A Chinese spy team working in a Canadian government lab sent pathogens to the Wuhan facility prior to the coronavirus outbreak in China,1,18,21,0
0,GATES FOUNDATION & OTHERS PREDICTED UP TO MILLION DEATHS from the coronavirus now spreading,1,54,47,0
0,A husband and wife Chinese spy team were recently removed from a Level Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research,1,12328,13681,0
0,Canadian labs shipment of Ebola Henipah viruses to China,1,6,4,0
0,BILL AND MELINDA GATES FOUNDATION & OTHERS PREDICTED UP TO MILLION DEATHS VIA CORONAVIRUS ?IN SIMULATION RAN MONTHS AGO,1,167,197,0
0,Not only is chlorine dioxide (aka MMS) an effective cancer cell killer it can wipe out coronavirus too,0,167,197,-0.765
0,Its dangerous to take ibuprofen if you have coronavirus,0,8,11,-0.4767
0,Medical professionals said u ibuprofen is not recommended for managing coronavirus symptoms,0,0,0,-0.1511
0,I have a doctor in the family who has been given information from Viennas laboratory studying COVID-19 and vast majority of people who died of it had ibuprofen in their system so do not take it! Those who recovered did not take ibuprofen so if you have symptoms take Paracetamol only! Looks like this virus thrives on ibuprofen so dont do it and tell everyone you can,0,0,0,-0.3987
0,Coronavirus thrives on ibuprofen,1,17,18,0
0,The coronavirus is an example of biological warfare,0,974,941,-0.296
0,Virologist Dr Xiangguo Qiu and her husband were a spy team had sent pathogens to the Wuhan facility and u her husband specialised in coronavirus research,1,12328,13681,0
0,Italian Prime Minister Giuseppe Conte said in Twitter we have lost control. We have killed the epidemic physically and mentally. Cant understand what more we can do all solutions are exhausted on ground. Our only hope remains up in the sky God rescue your people.,0,842,1479,-0.0772
0,Coronavirus pneumonia is a dry cough with no runny nose,0,9,26,-0.296
0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice. ?,1,4,20,0.4939
0,UK is testing more people for Covid-19 than any country other than China and Italy,1,312,357,0
0,Banknotes may be spreading the new coronavirus so people should try to use contactless payments instead the World Health Organization has said,1,0,0,0
0,World Health Organization has advised public against using paper money,1,1,1,0
0,Gargle with warm and salt water kills the tonsils germs and prevents them from leaking into the lungs,0,61,9,-0.3182
0,The coronavirus pandemic began because of meat consumption,1,55,113,0
0,There is no coronavirus,0,372,1562,-0.296
0,Coronavirus is just he damn flu. ?,0,115,759,-0.6486
0,The coronavirus is an orchestrated attempt to destroy capitalism,0,1,3,-0.5423
0,President Trump COVID-19 coronavirus: U.S. cases ; U.S. deaths ; panic level: mass hysteria. President Obama H1N1 virus: U.S. cases million; U.S. deaths ; panic level: totally chill. Do you all see how the media can manipulate your life,0,0,0,-0.8591
0,Italy has decided not to treat their elderly for this virus. u my friends is socialized healthcare the post claimed,1,7493,11854,0.2124
0,All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus starting from March,1,1,0,0.296
0,COVID-19 started because we eat animals,1,0,0,0
0,COVID-19 would not exist if the world was vegan,1,0,0,0
0,Trumps Katrina: MSNBC hopes Americans die from coronavirus to hurt president,0,2,1,-0.6705
0,Trump administration rejected WHO coronavirus test kits,0,3661,8778,-0.5106
0,Americans were infected with COVID-19 in the fall,0,0,1,-0.4939
0,The Simpsons predicted the coronavirus,1,54,300,0
0,Nancy Pelosi was caught trying to include abortion funding in bill to combat coronavirus. ?,0,35,37,-0.34
0,U.S. hospitals are preparing for million coronavirus infections and nearly half a million deaths leaked documents reveal,0,0,1,-0.3182
0,(Barack Obama) set up anti-pandemic programs in vulnerable countries as a way to protect against something like the coronavirus exactly. Do you know u Trump closed of them,1,0,1,0.4939
0,NYC man drops dead in middle of street ?suspected coronavirus,0,0,0,-0.7351
0,Daniel Radcliffe has the coronavirus,1,48,159,0
0,More people have died from knowing Hillary than coronavirus,0,48,160,-0.5945
0,Coronavirus patients are being cremated alive in China,1,1,4,0.3818
0,Florida hospital reports a coronavirus infestation ?with multiple confirmed patients,1,52,47,0
0,The coronavirus is simply the common cold,1,6319,22708,0
0,Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of G Syndrome,0,1,1,-0.7506
0,The State of Florida has announced measures u all workplaces with employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting on March . All schools are to close for weeks also from March th. Offices will resume after weeks of the mandatory closure. A list of all schools and businesses in your area are shown on the list,0,0,1,-0.2023
0,Novel coronavirus test for Miami man leads to $3275 bill,1,18,18,0.3182
0,Trump created the coronavirus,1,142,2250,0.25
0,BREAKING: TRUMP SPAWNED WUHAN SUPER VIRUS OUTBREAK UNDER CODE NAME YPHR ?ACCORDING TO DOCUMENTS,1,0,7,0.5994
0,Sanitizer will do nothing for the coronavirus,1,228,621,0
0,America has been vaccinating cattle for coronavirus for years yet the news tells you its new and gunna kill you all so go buy mask,0,1,0,-0.6908
0,The mortality rate for the flu is right around ?u of the new coronavirus: Its right around %. ?,0,37,43,-0.4515
0,The coronavirus is the common cold folks,1,4215,10699,0
0,Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases ?Wuhan Super Virus Updates,1,2,6,0.5994
0,Scientists are shocked to discover u weed kills corona virus,0,40,63,-0.7003
0,The Chinese Communist Party will finally admit u the real source of the coronavirus is from a lab in Wuhan linked to its covert biological weapon programs,1,4,91,0.3182
0,A reliable source told Miles Guo today u the Chinese Communist Party (CCP) will admit to the public of an accidental leak of lab-created virus from a P4 lab in Wuhan to put blames on human errors. But the official announcement is still being finalized,0,0,15,-0.2846
0,Last year a mysterious shipment was caught smuggling Coronavirus from Canada. It was traced to Chinese agents working at a Canadian lab. Subsequent investigation by GreatGameIndia linked the agents to Chinese Biological Warfare Program from where the virus is suspected to have leaked causing the Wuhan Coronavirus outbreak,0,30,32,-0.8176
0,Coronavirus patients doing better in testing with anti-malaria drug,1,2,3,0.4404
0,No normally functioning economy if thousands of Americans die from coronavirus,0,0,1,-0.7269
0,COVID-19 more contagious than SARS or MERS can live on surfaces for up to days,0,0,0,-0.4005
0,Coronavirus outbreak in US at best could be times worse than bad flu season expert warns,0,0,0,-0.6597
0,Trump says coronavirus outbreak is all under control and a very small problem in US,0,940,1485,-0.4549
0,The coronavirus could cost Chinas economy $60 billion this quarter. Beijing will have to act fast to avert a bigger hit,0,2,8,-0.1779
0,China use its status as a major superpower to pressure the World Health Organisation,0,1348,2222,-0.296
0,Coronavirus: number of cases in Hong Kong could jump almost per cent in next two weeks scientist predicts,1,22,35,0.0772
0,Indias homeopathic sure ?for coronavirus mmature and irresponsible ?,0,62,184,-0.2406
0,Wilbur Ross says coronavirus could bring jobs back to the US from China,1,29,89,0
0,Demand for face masks surges amid short supply in Hong Kong as government denies accusation it stockpiled safety gear for internal use,0,11,12,-0.3612
0,The coronavirus could cost Chinas economy $60 billion,1,1,5,0
0,Pasteur Institute eyes coronavirus vaccine in,1,1,1,0
0,CDC director says risk to U.S. public from coronavirus is low,0,43,88,-0.4939
0,Trump: Coronavirus will have very good ending for us,1,2,5,0.4927
0,Wuhan doctors beaten up overworked under supplied,0,49,58,-0.4215
0,Coronavirus lurking in feces may reveal hidden risk of spread,0,17,14,-0.3818
0,Coronavirus may have sprung from perfect mixing pot infectious disease doctor says,1,0,1,0.5719
0,China hit by second deadly virus as bird flu strikes near coronavirus city,0,1,1,-0.6249
0,Cocktail of flu HIV drugs may help fight Coronavirus say Thai doctors,0,473,420,-0.3612
0,Coronavirus could be eath blow ?for many of Chinas small manufacturers if not under control by April,1,25,40,0
0,China says U.S. creating spreading fear after virus outbreak,0,18,19,-0.25
0,Chinese government will spray disinfectant on an entire CITY tonight,1,1,6,0
0,Coronavirus may disrupt Chinas diplomatic agenda US trade deal observers say,1,5,0,0
0,Multiple sources say u there was frustration among FEMA employees over being brought into coronavirus response too late coupled with fear the agency would ultimately take blame for the bungled response,0,376,914,-0.8271
0,Dr. Anthony Fauci: We are hoping ... u we will see u impact of warmer weather on bringing the infection rate down. But you cant guarantee it because this is a brand-new virus.,1,463,1215,0.1002
0,The federal government isnt stepping in to coordinate the purchase and allocation of supplies during the coronavirus crisis,0,32,84,-0.6249
0,Hedge fund billionaire Bill Ackman has a solution to end the coronavirus threat and prevent the US economy from total collapse: shut down everything for a month,0,225,837,-0.6369
0,The UN is urging governments to forget those behind bars ?and protect the staff members working in those facilities,1,117,280,0.1779
0,The US hasnt conducted enough tests to know how widespread the coronavirus is warned Dr. William Schaffner an infectious diseases professor at Vanderbilt University Medical Center,0,113,200,-0.2732
0,Opening schools and businesses too early could cause a resurgence of coronavirus,1,471,1015,0
0,Although many people around the world are practicing social distancing during the coronavirus pandemic those on the frontlines fighting the virus cant stay home. Experts agree u robots could take over dull dirty and dangerous jobs u humans do,0,49,115,-0.8271
0,There is currently no proven treatment or cure for Covid-19,0,29,22,-0.296
0,Coronavirus test turnaround times range from hours to a week or more,1,86,174,0
0,A Georgia congressman is urging Secretary of State Mike Pompeo to temporarily ban exports of medical supplies related to coronavirus over concerns u private companies will send supplies to foreign countries instead of states seeking the same equipment,0,55,181,-0.5574
0,Medical workers in Spain account for more than % of the countrys total coronavirus cases according to a health official,1,92,123,0
0,Gun stores in Los Angeles have been declared a nonessential business and have been forced to close L.A. County Sheriff Alex Villanueva said in a statement,0,783,6090,-0.6597
0,India appears to so far have avoided the full hit of the coronavirus pandemic. It has only confirmed cases of coronavirus and nine deaths. But fears are growing u the country remains susceptible to a wider potentially more damaging outbreak,0,157,619,-0.8545
0,The Kenyan government has set the Maasai tribe on people and are adopting harsh steps for those who are flouting lockdown rules in the country,0,2,11,-0.4404
0,Some countries throw Covid19 infected dead bodies into the seas. Advice to stop eating seafood. The World is really coming to an end. Dear God please intervene,0,0,1,-0.5719
0,The Disaster Management Act (DMA) has been implemented across the country according to which nobody except the government can update and post coronavirus related information on social media,0,11,14,-0.6249
0,Tea prepared with different ingredients is a tested cure for COVID-19 the deadly disease caused by the Coronavirus,1,4,7,0.2263
0,Italians Throw Their Money On The Streets Due To COVID-19 Deaths,1,3,5,0
0,A video of policemen using batons on people in an alley is viral on social media calling the incident as police retaliation in Indore Madhya Pradesh where a medical team was attacked by locals on April . The medics were visiting the area to screen locals for Coronavirus,0,8,9,-0.4588
0,Trupti Desai Was Detained Revived With Lockdown Twist,0,3688,6295,-0.4019
0,PM Modi will lead a coronavirus task force of countries including the UK and US,1,15,31,0
0,nations including USA and UK wants NARENDER MODI as leader for TASK FORCE for CORONA..what a proud moment for INDIA..believe in him and INDIA will win,1,3,41,0.7845
0,Chinese authorities said patient zero of the Coronavirus had sex with bats,1,5,9,0
0,Great news! Carona virus vaccine ready. Able to cure patient within hours after injection. Hats off to US Scientists. Right now Trump announced u Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it !!,1,9,37,0.8743
0,Croatia Earthquake Pics Peddled As Italy Overwhelmed With COVID-19 Patients,1,10,16,0.0516
0,A US Soldier Wipe His Saliva On A Subway Train In Wuhan,1,89,118,0
0,IndianArmy has established bed quarantine facility in Barmer,1,552,2419,0
0,Salt Or Vinegar Warm Water Gargle Eliminates The Coronavirus,1,0,0,0.2263
0,A video of police apprehending a man threatening people with a gun in Brazils Sao Paolo area is viral with claims u it is from Italy where the police is coming down heavily on people who are venturing out during the lockdown,0,8,18,-0.7003
0,To prevent community transmission the virus needs to be curbed totally for to hours,1,13,118,0.0258
0,A video of several sick goats lying in what appears to be a wholesale meat market in Ajmer Rajasthan has resurfaced with claims u the mutton livestock has been infected in the wake of the outbreak of Coronavirus in the country,0,4,10,-0.872
0,Trump announced u Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it !!! The end of the play,1,26,52,0.6981
0,The Italian government has given up overwhelmed by the rising number of Coronavirus cases in the country,1,20,40,0.128
0,India In Lockdown: from tomorrow onwards there are new communication regulations. All calls are recorded. All phone call recordings saved. WhatsApp is monitored. Twitter is monitored. Facebook is monitored..,1,3,12,0.4215
0,U.S. President Donald Trump tweeted u economic stimulus checks would only go to those who have not made negative social media comments about him,1,78,118,0.4585
0,U.S. President Donald Trump will benefit financially if hydroxychloroquine becomes an established treatment for COVID-19,1,0,0,0.4588
0,The COVID-19 death toll is exaggerated because he state ?has instructed u nyone who didnt die by a gun shot wound or car accident ?be listed as a coronavirus victim,0,45,59,-0.6886
0,The Kennedy Center for the Performing Arts donated $5 million to Democrats after it was allocated $25 million in the COVID-19 stimulus package,1,41,38,0
0,The virus can somehow be transmitted through the use of G technology,1,6,31,0
0,Allegedly of the blaze in Aigburth was shared on YouTube and Facebook claiming a link between the mobile technology and Covid-19,1,5,34,0.34
0,African people are to be used as guinea pigs to test a new coronavirus vaccine,1,221,306,0
0,To be safe from coronavirus shave your beard CDC warns,1,20,40,0.3612
0,Nigerian pastor who went to China to destroy coronavirus has been rushed to the hospital - Aficature,0,240,388,-0.5423
0,Who would have known u a simple cup of tea would be the solution to this virus. The Chinese doctor Li Wenliang who was hailed a hero for his efforts to raise the alarm about the virus early on in Wuhan and who later died of the disease,1,44,145,0.2023
0,Breaking! The Italien Army has deployed a lot of tanks in the city of Foggia as around prisioners escaped from local jail,1,943,1228,0
0,Hand dryers are effective in killing the coronavirus,1,40,80,0.2263
0,Union Home Minister amitshah has been infected with,0,225,702,-0.4939
0,WHO is floating around on whatsapp saying u it has announced a lockdown schedule,1,854,1858,0
0,MCI advisory being circulated on social media stating u MBBS UGs and students will be recruited for assistance in healthcare against,1,230,352,0
0,Nagpur has tested positive coronavirus cases including doctors,1,1703,6954,0.5574
0,The Government is likely to impose Financial Emergency in India to tackle the crisis caused by,0,801,1721,-0.836
0,The risk of in India has been reduced due to noise produced during the,0,367,759,-0.2732
0,Paracetamol can treat coronavirus infection,1,68,130,0.4019
0,Coronavirus survives only for hours,1,1107,2620,0
0,The vibration generated by clapping together will destroy infection,0,1532,3054,-0.5423
0,Angry Citizens Did Not Place A Naked Statue Of Trump In New York City Due To His Inability To Contain COVID-19 Situation,0,0,0,-0.7184
0,The worlds cutest baby Anahita Hashemzadeh has been diagnosed with coronavirus. Please pray for this baby,1,0,2,0.8126
0,Cocaine is a cure for COVID-19,1,9,57,0
0,OMG: China needs coronavirus SWAT (special weapons and tactics) police team to arrest this drop dead virus victims,0,1044,1421,-0.9228
