veracity,content,sentiment,retweet numbers,likes numbers,compound
0,If you can hold your breath without coughing discomfort stiffness or tightness your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection,1,61,95,0.4556
0,A homemade hand sanitizer made with Titos Vodka can be used to fight the new coronavirus,1,41,67,0.1531
0,The White House sent out text messages in mid-March informing people u a mandatory quarantine in U.S. would start within hours,1,30,51,0.0772
0,A major disease outbreak occurred in every election year since,1,61,95,0
0,A photograph shows a railroad tank car identified as carrying COVID-19.,1,21,54,0
0,Self-described psychic Sylvia Browne predicted a outbreak of the new coronavirus,1,41,67,0
0,Author Dean Koontz predicted the new coronavirus outbreak in his novel The Eyes of Darkness.,1,146,187,0.0772
0,You can get the coronavirus by drinking Corona beer,1,16,617,0
0,The Vatican has confirmed in a statement u Pope Francis and two of his aides have tested positive for the novel Coronavirus,1,41,71,0.7096
0,Donating blood requires u you be administered a free test for the COVID-19 a disease caused by the coronavirus,1,30,51,0.5106
0,There Is A National Lockdown And The Entire Country Will Be Quarantined For Two Weeks,1,2,11,0
0,FEMA Has Deployed Military Assets,1,405,541,0.1779
0,I Need To Stockpile As Many Groceries And Supplies As I Can,1,1,4,0
0,The government ?or specific states such as Michigan or Florida ?has mandated u employers and schools close for two weeks in response to the coronavirus,1,22,16,0
0,All schools are to close for weeks also from March th ?Offices will resume after weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,1,0,0,0.0772
0,Chloroquine can cure coronavirus,1,102,85,0
0,People are dying who have never died before.Donald J. Trump March,1,5821,23907,0.4449
0,Every election year has a disease: SARS-2004 Avian-2008 Swine-2010 MERS-2012 Ebola-2014 Zika-2016 Ebola-2018 Corona-2020,1,906,1481,0
0,Google is helping to develop a website. Its going to be very quickly done unlike websites of the past to determine whether a test is warranted and to facilitate testing at a nearby convenient location. We have many many locations behind us by the way. We cover the ?this country in large part. So the world by the way ?we not going to be talking about the world right now. But we cover very very strongly our country. Stores in virtually every location. Google has engineers working on this right now. They made tremendous progress. Our overriding goal is to stop the spread of the virus and to help all Americans who have been impacted by this,1,21,38,0.8725
0,Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist never dry. Take a few sips of water every minutes at least. Why? Even if the virus gets into your mouth drinking water or other liquids will wash them down through your throat and into the stomach. Once there your stomach acid will kill all the virus. If you dont drink enough water more regularly the virus can enter your windpipe and into the lungs. us very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon. Please forward to your kids and friends,1,1,6,0.9129
0,Drinking warm water is effective for all viruses. Try not to drink liquids with ice,1,0,2,0.6124
0,Wash your hands frequently as the virus can only live on your hands for minutes but - a lot can happen during u time - you can rub your eyes pick your nose unwittingly and so on,1,2,3,0
0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice,1,1,0,0.4939
0,The nasal congestion is not like the normal kind. You feel like youre drowning. Its imperative you then seek immediate attention,1,2,3,0.0464
0,Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist never dry. Take a few sips of water every minutes at least. Why? Even if the virus gets into your mouth drinking water or other liquids will wash them down through your throat and into the stomach. Once there your stomach acid will kill all the virus. If you dont drink enough water more regularly the virus can enter your windpipe and into the lungs. us very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon,1,1,6,0.7897
0,Good news Wuhans corona virus can be cured by one bowl of freshly boiled garlic water. Old Chinese doctor has proven its efficacy. Many patients has also proven this to be effective. Eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil. Eat and drink the boiled garlic water overnight improvement and healing. Glad to share this,1,6,25,0.9217
0,The virus has been patented and a vaccine is already available,1,40,44,0
0,A Chinese spy team working in a Canadian government lab sent pathogens to the Wuhan facility prior to the coronavirus outbreak in China,1,18,21,0
0,GATES FOUNDATION & OTHERS PREDICTED UP TO MILLION DEATHS from the coronavirus now spreading,1,54,47,0
0,A husband and wife Chinese spy team were recently removed from a Level Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research,1,12328,13681,0
0,Canadian labs shipment of Ebola Henipah viruses to China,1,6,4,0
0,BILL AND MELINDA GATES FOUNDATION & OTHERS PREDICTED UP TO MILLION DEATHS VIA CORONAVIRUS ?IN SIMULATION RAN MONTHS AGO,1,167,197,0
0,Coronavirus thrives on ibuprofen,1,17,18,0
0,Virologist Dr Xiangguo Qiu and her husband were a spy team had sent pathogens to the Wuhan facility and u her husband specialised in coronavirus research,1,12328,13681,0
0,You should also gargle as a prevention. A simple solution of salt in warm water will suffice. ?,1,4,20,0.4939
0,UK is testing more people for Covid-19 than any country other than China and Italy,1,312,357,0
0,Banknotes may be spreading the new coronavirus so people should try to use contactless payments instead the World Health Organization has said,1,0,0,0
0,World Health Organization has advised public against using paper money,1,1,1,0
0,The coronavirus pandemic began because of meat consumption,1,55,113,0
0,Italy has decided not to treat their elderly for this virus. u my friends is socialized healthcare the post claimed,1,7493,11854,0.2124
0,All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus starting from March,1,1,0,0.296
0,COVID-19 started because we eat animals,1,0,0,0
0,COVID-19 would not exist if the world was vegan,1,0,0,0
0,The Simpsons predicted the coronavirus,1,54,300,0
0,(Barack Obama) set up anti-pandemic programs in vulnerable countries as a way to protect against something like the coronavirus exactly. Do you know u Trump closed of them,1,0,1,0.4939
0,Daniel Radcliffe has the coronavirus,1,48,159,0
0,Coronavirus patients are being cremated alive in China,1,1,4,0.3818
0,Florida hospital reports a coronavirus infestation ?with multiple confirmed patients,1,52,47,0
0,The coronavirus is simply the common cold,1,6319,22708,0
0,Novel coronavirus test for Miami man leads to $3275 bill,1,18,18,0.3182
0,Trump created the coronavirus,1,142,2250,0.25
0,BREAKING: TRUMP SPAWNED WUHAN SUPER VIRUS OUTBREAK UNDER CODE NAME YPHR ?ACCORDING TO DOCUMENTS,1,0,7,0.5994
0,Sanitizer will do nothing for the coronavirus,1,228,621,0
0,The coronavirus is the common cold folks,1,4215,10699,0
0,Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases ?Wuhan Super Virus Updates,1,2,6,0.5994
0,The Chinese Communist Party will finally admit u the real source of the coronavirus is from a lab in Wuhan linked to its covert biological weapon programs,1,4,91,0.3182
0,Coronavirus patients doing better in testing with anti-malaria drug,1,2,3,0.4404
0,Coronavirus: number of cases in Hong Kong could jump almost per cent in next two weeks scientist predicts,1,22,35,0.0772
0,Wilbur Ross says coronavirus could bring jobs back to the US from China,1,29,89,0
0,The coronavirus could cost Chinas economy $60 billion,1,1,5,0
0,Pasteur Institute eyes coronavirus vaccine in,1,1,1,0
0,Trump: Coronavirus will have very good ending for us,1,2,5,0.4927
0,Coronavirus may have sprung from perfect mixing pot infectious disease doctor says,1,0,1,0.5719
0,Coronavirus could be eath blow ?for many of Chinas small manufacturers if not under control by April,1,25,40,0
0,Chinese government will spray disinfectant on an entire CITY tonight,1,1,6,0
0,Coronavirus may disrupt Chinas diplomatic agenda US trade deal observers say,1,5,0,0
0,Dr. Anthony Fauci: We are hoping ... u we will see u impact of warmer weather on bringing the infection rate down. But you cant guarantee it because this is a brand-new virus.,1,463,1215,0.1002
0,The UN is urging governments to forget those behind bars ?and protect the staff members working in those facilities,1,117,280,0.1779
0,Opening schools and businesses too early could cause a resurgence of coronavirus,1,471,1015,0
0,Coronavirus test turnaround times range from hours to a week or more,1,86,174,0
0,Medical workers in Spain account for more than % of the countrys total coronavirus cases according to a health official,1,92,123,0
0,Tea prepared with different ingredients is a tested cure for COVID-19 the deadly disease caused by the Coronavirus,1,4,7,0.2263
0,Italians Throw Their Money On The Streets Due To COVID-19 Deaths,1,3,5,0
0,PM Modi will lead a coronavirus task force of countries including the UK and US,1,15,31,0
0,nations including USA and UK wants NARENDER MODI as leader for TASK FORCE for CORONA..what a proud moment for INDIA..believe in him and INDIA will win,1,3,41,0.7845
0,Chinese authorities said patient zero of the Coronavirus had sex with bats,1,5,9,0
0,Great news! Carona virus vaccine ready. Able to cure patient within hours after injection. Hats off to US Scientists. Right now Trump announced u Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it !!,1,9,37,0.8743
0,Croatia Earthquake Pics Peddled As Italy Overwhelmed With COVID-19 Patients,1,10,16,0.0516
0,A US Soldier Wipe His Saliva On A Subway Train In Wuhan,1,89,118,0
0,IndianArmy has established bed quarantine facility in Barmer,1,552,2419,0
0,Salt Or Vinegar Warm Water Gargle Eliminates The Coronavirus,1,0,0,0.2263
0,To prevent community transmission the virus needs to be curbed totally for to hours,1,13,118,0.0258
0,Trump announced u Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it !!! The end of the play,1,26,52,0.6981
0,The Italian government has given up overwhelmed by the rising number of Coronavirus cases in the country,1,20,40,0.128
0,India In Lockdown: from tomorrow onwards there are new communication regulations. All calls are recorded. All phone call recordings saved. WhatsApp is monitored. Twitter is monitored. Facebook is monitored..,1,3,12,0.4215
0,U.S. President Donald Trump tweeted u economic stimulus checks would only go to those who have not made negative social media comments about him,1,78,118,0.4585
0,U.S. President Donald Trump will benefit financially if hydroxychloroquine becomes an established treatment for COVID-19,1,0,0,0.4588
0,The Kennedy Center for the Performing Arts donated $5 million to Democrats after it was allocated $25 million in the COVID-19 stimulus package,1,41,38,0
0,The virus can somehow be transmitted through the use of G technology,1,6,31,0
0,Allegedly of the blaze in Aigburth was shared on YouTube and Facebook claiming a link between the mobile technology and Covid-19,1,5,34,0.34
0,African people are to be used as guinea pigs to test a new coronavirus vaccine,1,221,306,0
0,To be safe from coronavirus shave your beard CDC warns,1,20,40,0.3612
0,Who would have known u a simple cup of tea would be the solution to this virus. The Chinese doctor Li Wenliang who was hailed a hero for his efforts to raise the alarm about the virus early on in Wuhan and who later died of the disease,1,44,145,0.2023
0,Breaking! The Italien Army has deployed a lot of tanks in the city of Foggia as around prisioners escaped from local jail,1,943,1228,0
0,Hand dryers are effective in killing the coronavirus,1,40,80,0.2263
0,WHO is floating around on whatsapp saying u it has announced a lockdown schedule,1,854,1858,0
0,MCI advisory being circulated on social media stating u MBBS UGs and students will be recruited for assistance in healthcare against,1,230,352,0
0,Nagpur has tested positive coronavirus cases including doctors,1,1703,6954,0.5574
0,Paracetamol can treat coronavirus infection,1,68,130,0.4019
0,Coronavirus survives only for hours,1,1107,2620,0
0,The worlds cutest baby Anahita Hashemzadeh has been diagnosed with coronavirus. Please pray for this baby,1,0,2,0.8126
0,Cocaine is a cure for COVID-19,1,9,57,0
0,Large Explosion in Wuhan China just happened about an hour ago /24/2020,1,183,202,0
0,Muslims Licking Plates to Spread Corona,1,0,0,0
0,ffice Memorandum ?claims u the Ministry of Health & Family Welfare has issued a clarification regarding declaration of holidays in four states namely Maharashtra Gujarat Uttar Pradesh and Sikkim,1,4,2,0.3818
0,France confirms two cases of deadly coronavirus,1,232,361,0
0,Chinese people trying to walk home in wuhan china,1,3814,15261,0
0,Everyone who has visited Macau for SS8. Please check the below link. Many Wuhan ELF stepped forward to tell us where they were at during the concert and suggest everyone in the area to be extra careful. They are currently fine but better to play safe,1,395,304,0.9209
0,Regards to the current Wuhan Virus (2019-nCov) have to ask a question on why it outbreak in Wuhan ss Chinese outside Wuhan dont eat bats & frog he answer is simple the only P4 lab in China located in Wuhan. Its a man made virus rather than come from nature,1,23,33,0
0,BREAKING: Three Chinese nationals were admitted to the San Lazaro Hospital in Manila after displaying symptoms of flu an official of the hospital confirmed. Two of them have travel history from Wuhan China the center of the novel coronavirus. | via MBMinkaTiangco,1,461,872,0.0258
0,JUST IN: Health Sec. Francisco Duque confirms Chinese nationals were admitted to San Lazaro Hospital in Manila after showing signs of flu; says of them have travel history from Chinas Wuhan City the center of the novel coronavirus ?outbreak,1,610,928,0.0258
0,Malaysia is one of the top countries in the world in terms of being prepared for major infectious diseases. We are in fact number one,1,5914,6379,0.4588
0,The Coronovirus in Wuhan sounds like it is a Bioweapon u was released by a nearby Bioweapons lab,1,3,6,0.3612
0,The number of official cases in Wuhan went from to in one day,1,205,362,0.0772
0,the hoseok fanbase in china has donated bottles of disenfectant doctors caps pairs of surgical gloves medical bed sheets and doctors gowns to the red cross in wuhan,1,468,1263,0
0,BREAKING: Hubei province has confirmed new cases of Wuhan coronavirus on Monday *alone* and new deaths have been reported the provincial govt said in a statement,1,2682,4743,0
0,Coronavirus reported in countries bliksem! So now its spreading from human to humanhow prepared SA authorities are? People who visited China from neighboring countries might cross our unguarded borders easilyegpregnant wife looking for better hospitals crossed through....,1,22,53,0.6239
0,wear your masks do everything to protect yourselves cos this government cant even,1,31100,56700,0.3818
0,Pakistan not to evacuate its citizens from virus-hit Wuhan to show solidarity. Until now Pakistan had only sold its national assets to China. Now it is selling its citizens too,1,1854,6122,0.4404
0,Coronavirus is a BLANKET TERM for various viruses. THE COMMON COLD IS A CORONAVIRUS. MERS IS A CORONAVIRUS,1,23758,72119,0
0,The last time the U.S. quarantined citizens to prevent the potential spread of disease was in the s over smallpox,1,59,0,0.0258
0,Working closely with China and others on Coronavirus outbreak. Only people in U.S. all in good recovery,1,22252,135061,0.4404
0,Scientists say figuring out the connection between climate change and the spread of disease is the only way to develop better public health strategies,1,105,243,0.4404
0,BREAKING: Fourth case of coronavirus set to be confirmed in Canada,1,544,1497,0
0,But honestly being in China gives you a better chance to get treated when you have the corona virus than here in Botswana and yes we love our people but traveling is very selfish given you putting a nation of just million in danger some sacrifices have to be made at times to,1,117,342,0.8888
0,New coronavirus update: Yesterday evening: new cases deaths. This evening: new cases deaths,1,43,68,0
0,Thai doctor says new drug combination treated coronavirus patient,1,78,241,0
0,There are now at least confirmed cases of Wuhan coronavirus in countries and territories outside mainland China with Sweden and Spain reporting those countrys first cases over the weekend,1,111,197,0
0,Hannity asked Trump about the coronavirus. Trump replied Weve pretty much shut it down.,1,0,2,0.4939
0,A coronavirus R0 (R naught) > value would suggest aerosol transmission. The Chinese state media Xinhua report of hand to mouth transmission is likely disinformation from the Wuhan Institute of Virology the possible true errant source of the virus,1,40,61,0.296
0,Finally have a president who stands up to China and puts Americas workers FIRST. Thank you President Trump,1,725,3966,0.3612
0,American televangelist Jim Bakker is selling a liquid u allegedly ills ?the coronavirus for $300,1,1682,3309,0
0,Coronavirus deaths by date. th of January: th of January: th of January: rd of February: th of February: Today:,1,6520,12052,0
0,With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle Washington there are definitely more cases than have been estimated. The virus has an incubation time of days so people probably traveled internationally without symptoms,1,471,1070,0.6705
0,BEWARE! THE CHINA VIRUS HAS LANDED IN US,1,203,100,0
0,Hong Kong located right next to mainland but surprisingly having case of and not imposing any effective preventive measures while the number of cases in China increases by hundred every few hours and other farther countries have confirmed cases as well,1,19,49,0.4612
0,Pregnant women who get vaccinated pass antibodies to their babies. u means when you get vaccines during pregnancy you arent just protecting yourself ou are giving your baby some early protection too,1,229,412,0.34
0,CDC testing several people in US for possible Wuhan virus,1,0,1,0
0,CDCs Vaccine Schedule May Be Harmful To Children,1,128,175,0
0,Current shot of CDC page. Not warning against non-essential travel,1,9,24,0.2584
0,A California woman can no longer speak or care for herself after using a skin-lightening cream u contained toxic mercury,1,50,45,0.25
0,Handwashing is one of the most effective ways to prevent the spread of germs,1,216,260,0.5413
0,Residents should remain in Wuhan except under extraordinary circumstances according to local government announcement,1,53,61,0
0,The Chinese family of five arrived in Hong Kong via the high-speed rail to take a connecting flight to Malaysia. While the patient stayed in Hong Kong to seek medical help due to fever the rest continued their journey,1,357,259,0.4019
0,China is trying to lock down Wuhan to try and slow the spread of the new virus. Public health accepted wisdom is u this sort of action is pretty futile,1,8,5,0.7003
0,All people in public places in Wuhan are now required to wear masks local government says,1,197,220,0
0,jenny mccarthy is deadass responsible for a global health epidemic. she should be sent into space,1,730,4426,0.3182
0,Everyone please take care. This Wuhan virus really spreading like wildfire,1,260,313,0.8062
0,locks down more cities including public transportation markets & theaters an effort to contain the . million people live in locked-down cities,1,0,1,0
0,only special hospitals accept patients in wuhan,1,73,77,0.6486
0,The global count of confirmed Wuhan coronavirus cases now stands at with of those in mainland China,1,103,202,0
0,CORONAVIRUS: /2 We have put in place proportionate precautionary measures building on those already in place in Wuhan and are closely monitoring the situation. A Port Health team is meeting each direct flight from Wuhan to provide advice and support to those u feel unwell..,1,280,521,0.4019
0,If this takes days to incubate how effective is screening via patient temp? Just askin you seeA post from Wuhan Railway saying u people traveled by train out of Wuhan on Wednesday headed to every corner of the country was also quickly deleted.,1,36,83,0.4767
0,Chairman Xi has acknowledged the Wuhan outbreak This means it became too big for them to cover up,1,1190,2783,0
0,Should we be worried about coronavirus in ? Yes and No.. The chance of people getting the virus is low,1,3333,456,0.1027
0,Philippines stops accepting flights from Wuhan origin of new coronavirus,1,233,1205,0.25
0,Philippines deporting travellers arriving from China,1,95,127,0
0,Most of the past epidemics were controllable but this time,1,0,0,0
0,China has officially been blockade on JAN rd due to the chronic wide spread condition mean while and has still NOT FORBID flights and trains from wuhan to Hong Kong,1,169,176,0.3621
0,The patient was not reported to have any prior medical conditions,1,391,237,0
0,Not a train to Busan But a plane from Wuhan,1,502,218,0
0,[The medical team collapsed] [Wuhan Medical Care is asking for help,1,3368,2723,0.7096
0,Virologist Who Visited Wuhan Says Coronavirus is out of Control,1,2368,13738,0
0,has a history of not accurately reporting outbreaks so its hard to know exactly what is happening especially with no free press internet etc,1,1423,2605,0.1045
0,Theres one difference between the Wuhan virus and previous outbreaks in the region: China is now impossible to quarantine,1,1,2,0
0,China has locked down more than million people,1,20,22,0
0,Of all the aspects of the rapidly spreading Wuhan virus this is perhaps the most alarming: A single patient has infected health care workers. us whats called a super spreader -- and identifying them is a key element of fighting the virus,1,679,788,0.1548
0,The impact on Chinas holiday economy from must be epic,1,491,786,0.4019
0,Virus-hit Wuhan has two laboratories linked to Chinese bio-warfare program - Washington Times,1,0,0,0
0,Drugs often used to combat HIV and AIDS are being used to treat patients of the Wuhan coronavirus in Beijing,1,340,576,0.0772
0,Corona virus is manmade,1,504,880,0
0,Confirmed there are kits on the way to Wuhan. We dont have the real numbers because they are overwhelmed and cannot test everyone,1,19,88,0.0516
0,The state of California has declared u they are well-prepared to handle the if cases would appear in the state,1,1344,2185,0
0,Multiple experts estimate u the ACTUAL cases in number *tens of thousands*,1,276,393,0.0772
0,Wuhan Coronavirus Infections Could Be Times Higher Than Official Total,1,3,8,0
0,Officials visiting hospitals with N95 masks and doctors in flimsy regular surgical masks,1,49,56,0
0,vehicles escaped from the city the day before lockdown,1,131,130,0
0,Cut UK out of the Five Eyes intelligence alliance,1,1028,1924,0.25
0,Governor Newsom Declares California A Coronavirus-Free Zone,1,715,3803,0
0,if I caught the coronavirus I would simply throw it back,1,10341,76021,0
0,the virus will be conquered soon,1,1155,1399,0
0,The main epidemic situation is only in Wuhan which is under control,1,0,25,0
0,UK has reported a case of coronavirus in Liverpool,1,0,2,0
0,Secretary Wilbur Ross says coronavirus will be good for [checks notes],1,32,118,0.4404
0,coronavirus is good for America,1,237,987,0.4404
0,CDC is committed to protecting the health & safety of all Americans. We continue to believe the immediate risk to the larger American public is low at this time,1,91,198,0.1779
0,Yet to be confirmed report says a guy with has been quarantined in Brittania hospital Lekki Lagos State,1,204,356,0
0,Countries are requested to provide protective suits and other medical resources before evacuating citizens,1,282,403,0
0,Chinese health officials are treating the Wuhan coronavirus using HIV medications,1,10,14,0
0,So far theyve quarantined million people in China,1,966,1881,0
0,coronavirus not killer disease,1,15,42,0.5334
0,China says it needs medical masks urgently,1,1128,3698,0
0,All we can do is wear mask drink lots of water wash/sanitize hands and eat healthy foods,1,62,408,0.4019
0,Please send Wuhan plague at Israeli military,1,1347,1571,0.3182
0,JUST IN: Macau the worlds biggest gambling hub has not asked casinos to temporarily close to halt the spread of coronavirus,1,298,299,0
0,Wuhan coronavirus: Confirmed cases top as China marks deadliest day ?CNN,1,0,0,0.2023
0,staying healthy onboard cruise ships,1,2,17,0.4019
0,situation report,1,106,184,0
0,Du30 & the Philippine government is handling the NCOV situation perfectly well,1,87,411,0.743
0,CCP China bans all travel for New Year Festival to better protect citizens,1,196,187,0.8271
0,Putting millions of people into concentration camp just because they chose to believe in different God than you,1,44567,46003,0.2732
0,Cerberus (Pluto) - Infested Outbreak - Goal: - Rewards: Corpus: Mutagen Mass,1,0,0,0.4767
0,McConnell agrees u there is a bull in the china shop,1,0,0,0.2023
0,NYC is investigating two new possible cases. Both patients have symptoms and were recently in China,1,21,23,0
0,we only have cases of nCoV,1,41,0,0
0,mickey has coronavirus,1,737,3194,0
0,The US Fast-Tracked a Coronavirus Test to Speed Up Diagnoses,1,0,4,0
0,more people being tested for in . samples now sent to CDC,1,2,7,0
0,ncov is everywhere,1,1,11,0
0,Concerns coronavirus is going undetected in Indonesia,1,44,73,0
0,Many Hong Kong residents have little confidence in their governments ability to handle a crisis,1,481,503,0.0534
0,The coronavirus ban has plunged Asia tourism into a challenging period but the outlook needs not be bleak if industry players take the opportunity to reduce their reliance on a single market,1,0,0,0.4019
0,China has never opened its own market to competition from ericsson nokia in terms of G prime contractor status. Nor has China provided clear explanations as to the level of state support for H ?,1,76,72,0.6486
