veracity,content,sentiment,retweet numbers,likes numbers,compound
1,The Trump administration fired the U.S. pandemic response team in to cut costs,0,256,454,-0.6908
1,Cough or sneeze into a disposable tissue and discard. Use your elbow only if you have to. The clothing on your elbow will contain infectious virus u can be passed on for up to a week or more,0,38,99,-0.25
1,The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people,0,7,22,-0.4927
1,USA Today published a front-page article about the development of a COVID-19 vaccine the same day Kobe Bryants death was reported,0,0,0,-0.5994
1,If the numbers of contagion do not start to go down the system Italy will collapse. Why? Today the ICUs in Lombardy are at capacity ?more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down the growth rate of contagion tells us u there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are or a people who need the hospital and only a few ICU places left,0,289,723,-0.644
1,WHO declares u coronavirus crisis is now a pandemic,0,3,10,-0.6249
1,President Donald Trump signed an $8.3 billion measure to help tackle the coronavirus outbreak u has killed people in the U.S. and infected more than,0,2,6,-0.7184
1,Biden claimed u the World Health Organization effered the [coronavirus] testing kits u they have available ?to the U.S. but refused them. ?Trump claimed it was a bad test. Both are wrong,0,37,75,-0.9195
1,THE SYMPTOMS . It will first infect the throat so youll have a sore throat lasting /4 days . The virus then blends into a nasal fluid u enters the trachea and then the lungs causing pneumonia. This takes about /6 days further. . With the pneumonia comes high fever and difficulty in breathing,0,4,25,-0.6326
1,Women seem to be less likely to die from coronavirus than men and children appear to be less likely to die than other age groups,0,22,20,-0.8059
1,The virus is nanometres wide and a mask although sometimes necessary wont guarantee u you dont get Covid-19,0,15,11,-0.1877
1,No city in the state can quarantine itself without state approval,0,80,117,-0.5795
1,South Korea adopts no-tolerance coronavirus quarantine policy violators risk deportation jail,0,0,0,-0.5106
1,A Missouri man who was plotting to bomb a hospital was killed in a shooting this week after he decided to accelerate his plan ?due to the coronavirus pandemic federal authorities said Wednesday,0,38,36,-0.8271
1,New Jersey restaurant owner takes out $50K loan to pay employees during coronavirus crisis,0,0,3,-0.6705
1,Indy postponed from May to August due to coronavirus crisis,0,1,1,-0.7096
1,Sen. Steve Daines State Dept facilitate last-minute escapes for citizens trapped abroad amid coronavirus pandemic,0,0,0,-0.4404
1,Texas Roadhouse CEO and founder Kent Taylor will give up his pay for the rest of the year so u the money can go to ront-line workers ?amid an industry crunch due to restrictions aimed at slowing the spread of COVID-19,0,146,507,-0.1027
1,Georgias worst-hit hospital fills ICU units with critically ill coronavirus patients,0,0,1,-0.4215
1,Judge denies Tekashi ix9ines request to serve out sentence at home amid coronavirus fears,0,0,0,-0.6486
1,Pink cuts her hair while drinking during coronavirus quarantine: I might try to fix it,0,0,2,-0.296
1,NYC coronavirus outbreak leads to shortage of foster dogs cats,0,1,0,-0.25
1,Chef Floyd Cardoz died of coronavirus complications,0,48,40,-0.5574
1,Iraqis protest burying coronavirus dead defy government and gather for mass pilgrimage,0,3,3,-0.743
1,ICE deports illegal immigrants to Central America brings back Americans stranded under coronavirus measures,0,0,0,-0.5574
1,California teens suspected coronavirus-related death would be one of youngest in US,0,0,1,-0.7003
1,Spain to probe bodies found abandoned in senior homes as ice rink becomes coronavirus makeshift morgue,0,0,0,-0.4588
1,Canadian Hockey League cancels playoffs while NHL has yet to give timeline on possible return,0,0,0,-0.2263
1,State Department has repatriated more than Americans amid coronavirus crisis,0,0,0,-0.6249
1,As Iran battles one of the worst coronavirus outbreaks in the world its regime has rejected life-saving humanitarian aid from abroad,0,0,2,-0.875
1,New York City recruiting ride-hailing drivers to deliver food to seniors during coronavirus crisis,0,0,0,-0.6249
1,Ford using F-150 parts to design respirators for coronavirus fight,0,23,63,-0.3818
1,Tokyo Olympics to be postponed Japan Prime Minister Shinzo Abe says,0,1,0,-0.2023
1,New Jersey pizza store owner takes out loan to pay his workers,0,1,0,-0.1027
1,Walking Dead actor Daniel Newman says he was charged $9G for coronavirus test but not given results,0,0,0,-0.4678
