no,veracity,content,source,sentiment,reply numbers,retweet numbers,likes numbers
1,0,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection",8.50E+17,2,2,61,95
2,0,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus,8.08E+18,2,3,41,67
3,0,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system,1.80E+18,2,6,39,73
4,0,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections,1.99E+18,2,0,0,0
5,0,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus",6.97E+18,3,0,0,0
6,1,The Trump administration fired the U.S. pandemic response team in 2018 to cut costs,7.51E+18,2,10,256,454
7,0,U.S. President Donald Trump cut funding for the Centers for Disease Control and Prevention (CDC),1.35E+18,1,3,45,82
8,0,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so qwertyu Democrats could run negative ads about Republicans qwertyu made the latter look bad,9.20E+18,1,10,218,375
9,0,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus",5.38E+18,1,2,60,126
10,0,"The White House sent out text messages in mid-March 2020 informing people qwertyu a ""mandatory quarantine"" in U.S. would start within 48 hours",3.54E+18,2,1,30,51
11,0,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus,4.09E+18,2,6,45,97
12,0,"A major disease outbreak occurred in ""every election year"" since 2004",8.50E+17,2,2,61,95
13,0,"The fictional ""Umbrella Corporation"" from the game ""Resident Evil"" shares a logo with a biotech lab in Wuhan, Hubei Province in China, where a new coronavirus is believed to have originated",5.95E+18,2,0,1,0
14,0,A photograph shows a railroad tank car identified as carrying 'COVID-19.',3.97E+18,2,3,21,54
15,0,"Self-described psychic Sylvia Browne ""predicted"" a 2020 outbreak of the new coronavirus",8.08E+18,2,3,41,67
16,0,"Author Dean Koontz predicted the 2020 new coronavirus outbreak in his 1981 novel ""The Eyes of Darkness.""",4.25E+18,3,17,146,187
17,1,A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb,3.93E+18,2,2,25,74
18,1,Cough or sneeze into a disposable tissue and discard. Use your elbow only if you have to. The clothing on your elbow will contain infectious virus qwertyu can be passed on for up to a week or more,5.57E+18,3,2,38,99
19,0,You can get the coronavirus by drinking Corona beer,5.80E+18,1,13,16,617
20,0,The Vatican has confirmed in a statement qwertyu Pope Francis and two of his aides have tested positive for the novel Coronavirus,6.21E+18,2,8,41,71
21,1,"A spokesperson for the World Health Organization said qwertyu fainting in this manner from coronavirus would be ""atypical.""",2.61E+18,1,2,20,56
22,0,"An MSNBC reporter said on air: ""I hope enough people die from coronavirus qwertyu it harms Trump's reelection.""",7.79E+18,1,2,32,77
23,1,"Supplies including protective gear, respirators and hand sanitizer are dwindling",1.37E+18,2,0,12,15
24,1,"A photograph posted on social media in March 2020 shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese.""",7.34E+18,2,8,78,118
25,1,The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people,5.09E+18,2,0,7,22
26,1,USA Today published a front-page article about the development of a COVID-19 vaccine the same day Kobe Bryant's death was reported,5.09E+18,1,0,0,0
27,1,"WASHINGTON (AP)  ?A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official",5.16E+18,1,123,79,190
28,0,"Donating blood requires qwertyu you be administered a free test for the COVID-19, a disease caused by the coronavirus",3.54E+18,3,1,30,51
29,1,"If the numbers of contagion do not start to go down, the system, Italy, will collapse. Why? Today the ICUs in Lombardy are at capacity  ?more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down, the growth rate of contagion tells us qwertyu there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are 100, or a 1000 people who need the hospital and only a few ICU places left",7.22E+17,#VALUE!,2,289,723
30,1,US capitol closing to public until April amid coronavirus outbreak,3.10E+18,1,1,3,5
31,1,WHO declares qwertyu coronavirus crisis is now a pandemic,7.35E+18,1,0,3,10
32,1,President Donald Trump signed an $8.3 billion measure to help tackle the coronavirus outbreak qwertyu has killed 12 people in the U.S. and infected more than 200,1.94E+18,2,6,2,6
33,0,Warm weather will kill coronavirus,7.05E+18,1,0,4,0
34,1,"Schools across the United States are canceling trips abroad, preparing online lessons and even rethinking  erfect attendance ?awards as they brace for the possibility qwertyu the new coronavirus could begin spreading in their communities",7.07E+17,2,39,311,528
35,1,"Biden claimed qwertyu the World Health Organization effered the [coronavirus] testing kits qwertyu they have available ?to the U.S., but   refused them. ?Trump claimed it ""was a bad test."" Both are wrong",9.03E+18,3,6,37,75
36,0,There Is A National Lockdown And The Entire Country Will Be Quarantined For Two Weeks,1.16E+18,2,0,2,11
37,0,FEMA Has Deployed Military Assets,2.98E+18,3,39,405,541
38,0,I Need To Stockpile As Many Groceries And Supplies As I Can,5.40E+18,2,0,1,4
39,0,Only Those Over 60 Years Of Age And Those With Existing Health Problems Are At Risk From The Coronavirus,8.69E+18,2,0,1,1
40,0,The government  ?or specific states such as Michigan or Florida  ?has mandated qwertyu employers and schools close for two weeks in response to the coronavirus,6.13E+18,2,1,22,16
41,0,All schools are to close for 2 weeks also from March 6th  ?Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,6.71E+16,1,1,0,0
